,â„–,Formation,Min,Sh,G,ShA,GA,xG,xGA,xGD,xG90,xGA90
0,1,3-4-2-1,727,106,15,87,4,16.41+1.41,7.17+3.17,9.24,2.03,0.89
1,2,4-3-1-2,487,70,13,63,5,13.09+0.09,6.57+1.57,6.52,2.42,1.21
2,3,3-4-1-2,285,52,9,22,3,9.00,2.96-0.04,6.04,2.84,0.93
3,4,3-4-3,182,37,8,17,0,7.73-0.27,0.61+0.61,7.12,3.82,0.3
4,5,4-3-3,139,26,4,20,3,3.60-0.40,2.09-0.91,1.51,2.33,1.35
5,6,4-1-3-2,94,19,3,6,1,4.06+1.06,0.27-0.73,3.79,3.89,0.26
6,7,4-1-2-1-2,94,22,2,14,1,1.86-0.14,0.74-0.26,1.12,1.78,0.71
7,8,4-4-2,71,5,1,12,1,0.77-0.23,2.14+1.14,-1.37,0.98,2.71
8,9,4-2-3-1,47,4,0,9,0,0.22+0.22,0.63+0.63,-0.41,0.42,1.2
9,10,3-5-2,29,3,0,7,2,0.20+0.20,1.78-0.22,-1.58,0.61,5.51
